mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	StaffText	3/8	1	1	0							Andante amoroso						
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0								𝅘𝅥.=34	51.0	𝅘𝅥.	34.0	0.0	
1	1	1/2	1/2	0.0	1/8	1/8	Dynamic	3/8	1	1	0					p								
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	0									0
1	1	1	1	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	1									0
1	1	0	0	0.0	0	0	Dynamic	3/8	2	1	0					f								
1	1	0	0	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	2									
2	2	3/2	3/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	3									0
2	2	2	2	0.0	1/8	1/8	StaffText	3/8	1	1	0							cresc.						0
2	2	2	2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	4									0
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	5									0
3	3	3	3	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	6									0
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	7									0
3	3	4	4	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	8									
3	3	4	4	0.0	1/4	1/4	Dynamic	3/8	2	1	0					f								
3	3	4	4	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	9									
4	4	9/2	9/2	0.0	0	0	Dynamic	3/8	1	1	0					f								
4	4	9/2	9/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	10									
4	4	9/2	9/2	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	11									
4	4	5	5	0.0	1/8	1/8	StaffText	3/8	1	2	0							decresc.						
4	4	5	5	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	12									
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	13									
4	4	9/2	9/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	14									1
4	4	5	5	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	15									1
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	16									1
5	5	6	6	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	17									
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	18									
5	5	7	7	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	19									
