mc	mn	onset	chords
0	1	0	.C.I
0	1	3/8	V
1	2	0	I(97)
1	2	1/8	I
1	2	1/4	V
2	3	0	I
2	3	3/8	V
3	4	0	I(94)
3	4	1/8	I
3	4	1/4	V
4	5	0	IV6
4	5	1/4	I64
5	6	0	IV
5	6	1/4	I6
6	7	0	V65
6	7	1/4	I
7	8	0	V\\
8	9	0	I
8	9	3/8	V
9	10	0	I(97)
9	10	1/8	I
9	10	1/4	V
10	11	0	I
10	11	3/8	V
11	12	0	I(94)
11	12	1/8	I
11	12	1/4	V
12	13	0	IV6
12	13	1/4	I64
13	14	0	IV
13	14	1/4	I6
14	15	0	ii6
14	15	1/4	V(64)
14	15	3/8	V
15	16	0	I\\
16	17	0	ii6
16	17	1/4	V(64)
16	17	3/8	V7
17	18	0	I
18	19	0	ii6
18	19	1/4	V(64)
18	19	3/8	V7
19	20	0	I\\
20	21	0	I
20	21	3/8	V43
21	22	0	I6
21	22	1/8	V2
21	22	1/4	I6
22	23	0	V6
22	23	1/4	I
22	23	3/8	V43
23	24	0	I
23	24	1/4	V65
24	25	3/8	I
25	26	0	V43
25	26	1/8	I6
25	26	1/4	V2
25	26	3/8	V43
26	27	0	V65
26	27	3/8	V7
27	28	0	I(#94)
27	28	1/4	I
28	29	0	V.ii6
29	30	0	I6
30	31	0	V65
30	31	1/4	I
31	32	0	V\\
31	32	3/8	V2
32	33	0	I6
33	34	0	V43
33	34	1/8	I
33	34	1/4	V65
33	34	3/8	V7
34	35	0	I(#2)
34	35	1/8	I
35	36	0	V2
36	37	0	I6
37	38	0	V43
37	38	1/8	I
37	38	1/4	V65
37	38	3/8	V7
38	39	0	I
38	39	1/4	I(64)
39	40	0	I
39	40	1/4	.bVII
40	41	0	IV6
40	41	1/4	I
41	42	0	V(64)
41	42	1/4	V7
42	43	0	I(4)
42	43	1/8	I
42	43	1/4	I(64)
43	44	0	I
43	44	1/4	.bVII
44	45	0	IV6
44	45	1/4	I
45	46	0	V(64)
45	46	1/4	V7
46	47	0	I\\
46	47	1/4	V43
46	47	3/8	I6
47	48	0	V
47	48	1/4	V43/V
47	48	3/8	V65
48	49	0	I
48	49	1/4	V43
48	49	3/8	I6
49	50	0	V
49	50	1/4	V65/V
49	50	3/8	V65
50	51	0	I
51	52	0	V7/IV
52	53	0	IV
53	54	0	viio7/V
53	54	1/4	V(64)
53	54	3/8	V7
54	55	0	I\\
55	56	0	V7/IV
56	57	0	IV
57	58	0	viio7/V
58	59	0	V(64)
59	60	1/4	V7
60	61	0	I\\
60	61	1/4	I[I6
61	62	0	V43
61	62	1/4	V2
62	63	0	I6
63	64	0	V43
63	64	1/4	V2
64	65	0	I6
64	65	1/4	V2
65	66	0	I6
65	66	1/4	V2
66	67	0	I6]
66	67	3/8	V7
67	68	0	I(94)
67	68	1/4	I\\
68	69	0	I6
68	69	1/8	I
69	70	0	I6
69	70	1/8	V43
69	70	1/4	V6
70	71	0	V43
70	71	1/8	I
70	71	1/4	I6
70	71	3/8	V43
71	72	0	I6(64)
71	72	1/4	I6\\
72	73	0	I6
72	73	3/8	#viio6/ii
73	74	0	ii6
73	74	1/4	viio/V
74	75	0	V(64)
74	75	1/4	V7
75	76	0	I(94)
75	76	1/4	I\\
76	77	0	I6
76	77	1/8	I
76	77	3/8	#viio/ii
77	78	0	V43
77	78	1/4	V65
78	79	0	I
78	79	1/4	ii7
79	80	0	VI
79	80	1/4	I6
80	81	0	ii7
80	81	1/4	I6
81	82	0	I.V43
81	82	1/4	I
82	83	0	V6
82	83	1/4	I
83	84	0	I6
83	84	1/4	V43
84	85	0	I
84	85	1/4	V6
84	85	3/8	I
85	86	0	V[V\\
86	87	0	i
87	88	0	V64
88	89	0	i
89	90	0	V64]
90	91	0	.It6(7)
90	91	1/4	.It6
91	92	0	V\\
93	94	0	V7
95	96	0	I
95	96	1/4	I6
95	96	3/8	V
96	97	0	I(97)
96	97	1/8	I
96	97	1/4	V
97	98	0	I
97	98	3/8	V
98	99	0	I(94)
98	99	1/8	I
98	99	1/4	V
99	100	0	IV6
99	100	1/4	I64
100	101	0	IV
100	101	1/4	I6
101	102	0	V65
101	102	1/4	I
102	103	0	V\\
103	104	0	I
103	104	1/4	I6
103	104	3/8	V
104	105	0	I(97)
104	105	1/8	I
104	105	1/4	V
105	106	0	I
105	106	1/4	I6
105	106	3/8	V
106	107	0	I(94)
106	107	1/8	I
106	107	1/4	V
107	108	0	IV6
107	108	1/4	I64
108	109	0	IV
108	109	1/4	I6
109	110	0	ii6
109	110	1/4	V(64)
109	110	3/8	V
110	111	0	I\\
111	112	0	ii6
111	112	1/4	V(64)
111	112	3/8	V7
112	113	0	I\\
113	114	0	ii6
113	114	1/4	V(64)
113	114	3/8	V7
114	115	0	I\\
115	116	0	I
115	116	3/8	V43
116	117	0	I6
116	117	1/8	V2
116	117	1/4	I6
117	118	0	V6
117	118	1/4	I
117	118	3/8	V43
118	119	0	I
118	119	1/4	V65
119	120	3/8	I
120	121	0	V43
120	121	1/8	I6
120	121	1/4	V2
121	122	0	V65
122	123	0	I(4#2)
122	123	1/4	I
123	124	0	V7/IV
124	125	0	IV
125	126	0	V7/ii
126	127	0	V/V
127	128	0	V65
128	129	0	I
129	130	0	ii6
129	130	1/4	V65/V
130	131	0	V\\
130	131	3/8	V2
131	132	0	I6
132	133	0	V43
133	134	0	I(#2)
133	134	1/8	I
134	135	0	V2
135	136	0	I6
136	137	0	V43
137	138	0	I
137	138	1/4	I(64)
138	139	0	I
138	139	1/4	.bVII
139	140	0	IV6
139	140	1/4	ii6
140	141	0	V(64)
140	141	1/4	V7
141	142	0	I(4)
141	142	1/8	I\\
141	142	1/4	I(64)
142	143	0	I
142	143	1/4	.bVII
143	144	0	IV6
143	144	1/4	ii6
144	145	0	V(64)
144	145	1/4	V7
145	146	0	I
145	146	1/4	V43
145	146	3/8	I6
146	147	0	V
146	147	1/4	V43/V
146	147	3/8	V65
147	148	0	I
147	148	1/4	V43
147	148	3/8	I6
148	149	0	V
148	149	1/4	V43/V
148	149	3/8	V65
149	150	0	I
150	151	0	V65/IV
151	152	0	IV
152	153	0	viio7/V
152	153	1/4	V(64)
152	153	3/8	V7
153	154	0	I\\
154	155	0	V65/IV
155	156	0	IV
156	157	0	viio7/V
157	158	0	V(64)
158	159	1/4	V7
159	160	0	I[I\\
159	160	1/16	I6
160	161	0	V43
161	162	0	I6
162	163	0	V43
163	164	0	I6
163	164	1/4	V2
164	165	0	I6
164	165	1/4	V2
165	166	0	I6
165	166	1/4	V2
166	167	0	I6
166	167	1/4	V2
167	168	0	I6]
167	168	3/8	#viio7/vi
168	169	0	vi(64)
168	169	1/4	vi
169	170	0	ii6
169	170	1/4	V7
170	171	0	I\\
