mc	mn	onset	chords
0	0	1/4	.C.I
1	1	0	vi
1	1	1/4	ii6
2	2	0	V
2	2	1/4	I6
3	3	0	IV
3	3	1/4	ii6
3	3	3/8	ii
4	4	0	V\\
4	4	1/4	I
5	5	0	vi
5	5	1/4	ii
6	6	0	V
6	6	1/4	I
7	7	0	ii6
7	7	1/4	IV
7	7	3/8	V7
8	8	0	I\\
8	8	1/4	V.IV
9	9	0	I6
9	9	1/4	V6
10	10	0	I
10	10	1/4	I6
11	11	0	ii6
11	11	1/4	V65/V
12	12	0	V\\
12	12	1/4	I
13	13	0	vi
13	13	1/4	ii6
14	14	0	V
14	14	1/4	I6
15	15	0	IV
15	15	1/4	V(64)
15	15	3/8	V7
16	16	0	I\\
18	18	0	I.V7
19	19	0	V7(9)
20	20	0	V7\\
20	20	1/4	I
21	21	0	vi
21	21	1/4	ii6
22	22	0	V
22	22	1/4	I6
23	23	0	IV
23	23	1/4	ii6
23	23	3/8	ii
24	24	0	V\\
24	24	1/4	I
25	25	0	vi
25	25	1/4	ii
26	26	0	V
26	26	1/4	I
27	27	0	ii6
27	27	1/4	IV
27	27	3/8	V7
28	28	0	I\\
28	28	1/4	I
29	29	0	vi
29	29	1/4	viio
30	30	0	V6/vi
30	30	1/4	vi.i
31	31	0	i64
31	31	1/4	V7
32	32	0	V
32	32	1/4	i6
33	33	0	.bII6
33	33	1/4	#viio6/iv
34	34	0	iv6
34	34	1/8	V6/iv
34	34	1/4	iv
34	34	3/8	i64
35	35	0	.Ger6
36	36	0	V[V\\
37	37	0	i
38	38	0	V6
39	39	0	i
40	40	0	V]
40	40	1/4	i
41	41	0	i64
41	41	1/4	V7
42	42	0	V
42	42	1/4	i64
43	43	0	i6
43	43	1/4	iio6
44	44	0	V64
44	44	1/4	#viio
45	45	0	i
45	45	1/8	iio
45	45	1/4	i6
45	45	3/8	V65/iv
46	46	0	iv
46	46	1/8	i64
46	46	1/4	iv6
46	46	3/8	i64
47	47	0	.bII6
47	47	1/4	V(64)
47	47	3/8	V
48	48	0	i\\
48	48	1/4	V7
49	49	0	i
49	49	1/4	V7
50	50	0	i
50	50	1/4	V7
51	51	0	i
51	51	1/4	I.V7
52	52	1/4	I
53	53	0	vi
53	53	1/4	ii6
54	54	0	V
54	54	1/4	I6
55	55	0	IV
55	55	1/4	ii6
55	55	3/8	ii
56	56	0	V\\
56	56	1/4	I
57	57	0	vi
57	57	1/4	ii
58	58	0	V
58	58	1/4	I
59	59	0	ii6
59	59	1/4	IV
59	59	3/8	V7
60	60	0	I\\
60	60	1/4	V2
61	61	0	I6
61	61	1/4	V2
62	62	0	I
62	62	1/4	ii6
63	63	0	V(64)
63	63	1/4	V7
64	64	0	I(9)
64	64	1/8	I\\
64	64	1/4	V2
65	65	0	I6
65	65	1/4	V2
66	66	0	I6
66	66	1/4	ii6
67	67	0	V(64)
67	67	1/4	V7
68	68	0	I\\
69	69	0	V(64)
69	69	1/4	V7
70	70	0	I
71	71	0	V(64)
71	71	1/4	V7
72	72	0	I\\
