ix	mn	onset	chords
0	1	0	.F.I[I
1	2	0	viio6/IV
2	3	0	IV
3	4	0	viio6
4	5	0	I]
5	5	1/2	vi6
6	6	0	ii
7	6	1/4	V
8	7	0	I
9	7	1/4	I6
10	7	1/2	vi
11	8	0	ii7
12	8	1/4	V
13	9	0	I
14	9	1/4	IV6
15	9	1/2	IV
16	10	0	I6
17	10	1/2	vi
18	11	0	ii6
19	11	1/2	V7
20	12	0	I\\
21	12	1/2	I6
22	13	0	I
23	13	11/16	V
24	14	0	I6
25	15	0	V
26	16	1/4	I
27	16	1/2	I6
28	17	0	I
29	17	11/16	V
30	18	0	I6
31	19	0	V7
32	20	0	I\\
33	20	1/2	V7
34	21	0	I
35	21	1/2	V7
36	22	0	I
37	22	1/2	V6/vi
38	23	0	vi
39	25	0	#viio65/vi
40	27	0	vi6
41	29	0	#viio65/v
42	31	0	v.i6
43	33	0	VI6
44	35	0	.Ger6
45	37	0	V\\
46	37	1/2	i
47	38	0	V
48	38	1/2	i
49	39	0	V
50	40	1/4	V\\
51	41	0	V.I
52	42	0	V2
53	43	0	I
54	43	1/4	I6
55	43	1/2	V(4)
56	43	5/8	V
57	44	0	I(97)
58	44	1/2	I
59	45	0	IV6
60	46	0	V6
61	46	1/2	V65
62	47	0	I
63	47	1/4	IV6
64	47	1/2	ii6
65	48	0	V\\
66	49	0	I
67	50	0	V6
68	50	1/2	V65
69	51	0	I
70	51	1/4	I6
71	51	1/2	V
72	52	0	I(97)
73	52	1/2	I
74	53	0	IV6
75	54	0	V6
76	54	1/2	V65
77	55	0	I
78	55	1/4	ii6
79	55	1/2	V7
80	56	0	I\\
81	57	0	V7
82	58	0	v.i
83	59	0	V7
84	60	0	i
85	61	0	iv7
86	62	0	V7/III
87	63	0	IIIM7
88	64	0	VIM7
89	64	1/2	ii%7
90	65	1/4	V7
91	66	0	VI
92	66	1/4	i64
93	66	1/2	viio7/V
94	67	0	V\\
95	67	5/8	viio7/V
96	68	0	V
97	68	5/8	viio7/V
98	69	0	V
99	70	0	V
100	71	0	V.IV
101	72	1/2	I
102	73	0	V7
103	74	1/2	vi
104	75	0	ii6
105	75	1/4	V(64)
106	75	1/2	V
107	76	0	I\\
108	77	0	IV64
109	78	0	I(64)
110	78	1/2	I
111	79	0	V7
112	80	1/2	vi
113	81	0	ii6
114	81	1/4	V(64)
115	81	1/2	V2
116	82	0	I6
117	82	1/4	#viio7/vi
118	82	1/2	vi
119	83	0	ii6
120	83	1/4	V(64)
121	83	1/2	V2
122	84	0	I6
123	84	1/4	#viio7/vi
124	84	1/2	vi
125	85	0	ii6
126	85	1/4	V(64)
127	85	1/2	V
128	86	0	I[I\\
129	87	1/2	V2
130	88	0	I6
131	89	1/2	V2
132	90	0	I6]
133	90	1/4	V6/vi
134	91	0	vi
135	91	1/4	I6
136	92	0	IV
137	92	1/4	V
138	93	0	I\\
0	94	0	I
1	95	0	V(64)
2	95	1/2	V
3	96	0	I
4	97	0	V(64)
5	97	1/2	V\\
6	98	0	ii6
7	100	0	V7(9)
8	100	1/4	V7
9	101	0	I\\
10	101	1/2	V7
11	102	0	I
12	103	0	V(64)
