ix	mn	onset	chords	volta
0	1	0	.Eb.I	
1	2	0	I	
2	2	1/4	viio6	
3	2	1/2	I6	
4	3	0	#viio43/ii	
5	3	1/4	ii6	
6	4	0	V(64)	
7	4	1/4	V\\	
8	5	0	I	
9	5	1/2	vi6	
10	6	0	ii(4)	
11	6	1/4	V7	
12	6	1/2	vi	
13	7	0	ii6	
14	7	1/4	V(64)	
15	7	1/2	V7	
16	8	0	I[I\\	
17	9	0	viio6(2)	
18	9	1/8	viio6	
19	10	0	I6	
20	11	0	viio6(2)	
21	11	1/8	viio6	
22	12	0	I6]	
23	12	3/8	I6	
24	12	1/2	ii6	
25	12	5/8	vii%7/V	
26	13	0	V(64)	
27	13	1/4	V\\	
28	14	0	V.I	
29	14	1/2	V2	
30	14	5/8	I6	
31	15	0	viio6	
32	15	1/8	I	
33	15	1/4	viio	
34	16	0	V7	
35	16	1/2	I6	
36	16	5/8	V2	
37	17	0	I	
38	17	1/8	V65	
39	17	1/4	I	
40	18	0	viio/IV	
41	18	1/2	IV6	
42	18	5/8	I6	
43	19	0	IV(#2)	
44	19	3/8	IV+	
45	19	1/2	ii6	
46	19	5/8	V2	
47	20	0	I6	
48	20	1/8	IV	
49	20	1/4	V(64)	
50	20	1/2	V7	
51	21	0	I\\	
52	21	1/4	V2	
53	21	3/8	I6	
54	21	1/2	V64	
55	21	5/8	I	
56	22	0	V65	
57	22	5/8	V2	
58	23	0	I6	
59	23	3/8	I	
60	23	1/2	viio6	
61	23	5/8	I6	
62	24	0	ii6	
63	24	1/2	V(64)	
64	24	5/8	V7	
65	25	0	I(974)	
66	25	1/4	I\\	
67	25	3/8	I6	
68	25	1/2	V2	
69	25	5/8	I	
70	26	0	V65	
71	26	5/8	V2	
72	27	0	I6	
73	27	3/8	I	
74	27	1/2	viio6	
75	27	5/8	I6	
76	28	0	ii6	
77	28	1/2	V7	
78	29	0	I[I\\	
79	29	3/8	viio/IV	
80	29	1/2	ii6	
81	29	5/8	viio64	
82	30	0	I6	
83	30	3/8	viio/IV	
84	30	1/2	ii6	
85	30	5/8	V7	
86	31	0	I(94)	
87	31	1/4	I]\\	
88	31	3/8	I.viio64	
89	31	1/2	I6	
90	31	5/8	viio6	
91	32	0	ii.#viio7(#2#4)	
92	32	1/4	#viio7	
93	32	1/2	V7	
94	32	5/8	V+	
95	33	0	VI(64)	
96	33	1/4	VI	
97	33	1/2	i6	
98	34	0	ii6(#7)	
99	34	1/4	ii6	
100	34	1/2	V7	
101	35	0	i(94)	
102	35	1/4	i\\	
103	36	0	i	
104	36	7/16	VI6	
105	37	0	viio43(2)/V	
106	37	1/4	viio43/V	
107	38	0	vi.viio7/V	
108	39	0	V+	
109	39	1/4	V(64)	
110	40	0	IV.I	
111	40	1/2	#viio/ii	
112	41	0	V43	
113	41	1/4	V2	
114	41	1/2	I6	
115	42	0	ii6	
116	42	1/4	V(64)	
117	42	1/2	V7	
118	43	0	I\\	
119	44	0	V43/vi	
120	45	0	vi	
121	46	0	V43/IV	
122	47	0	iv	
123	47	1/2	I.iv6	
124	48	0	V7(4)	
125	48	1/4	V7\\	
126	51	0	I	
127	52	1/4	#viio6	
128	52	1/2	I6	
129	53	0	ii6	
130	54	0	V(64)	
131	54	1/4	V\\	
132	55	0	I	
133	55	1/2	vi6	
134	56	0	V/V	
135	56	1/4	V7	
136	56	3/8	#viio7/vi	
137	56	1/2	vi	
138	56	5/8	V65/IV	
139	57	0	IV	
140	57	1/4	V(64)	
141	57	1/2	V7	
142	58	0	I[I\\	
143	59	0	#viio6	
144	60	0	I	
146	61	0	V43(9)	
145	61	3/8	V43	
147	62	0	I]	
148	62	3/8	I6	
149	62	1/2	ii6	
150	62	5/8	vii%7/V	
151	63	0	V(64)	
152	63	1/4	V\\	
153	64	0	I	
154	64	1/2	V2	
155	64	5/8	I6	
156	65	0	#viio6	
157	65	1/8	I	
158	65	1/4	V65	
159	66	0	V7	
160	66	1/2	I6	
161	66	5/8	V2	
162	67	0	I6	
163	67	1/8	V43	
164	67	1/4	I	
165	68	0	V65/IV	
166	68	5/8	V+6/IV	
167	69	1/4	IV	
168	70	0	I6	
169	70	1/8	IV	
170	70	1/4	V(64)	
171	70	1/2	V7	
172	71	0	I\\	
173	71	1/4	V2	
174	71	3/8	I6	
175	71	1/2	V64	
176	71	5/8	I	
177	72	0	V65	
178	72	5/8	V2	
179	73	0	I6	
180	73	3/8	I	
181	73	1/2	#viio6	
182	73	5/8	I6	
183	74	0	ii6	
184	74	1/2	V(64)	
185	74	5/8	V7	
186	75	0	I(974)	
187	75	3/16	I(#974)	
188	75	1/4	I	
189	75	3/8	I6	
190	75	1/2	V2	
191	75	5/8	I	
192	76	0	V65	
193	76	5/8	V2	
194	77	0	I6	
195	77	1/4	I	
196	77	1/2	#viio6	
197	77	5/8	I6	
198	78	0	ii6	
199	78	1/2	V7	
200	79	0	I	
201	79	3/8	V7/IV	
202	79	1/2	ii6	
203	79	5/8	V2	
204	80	0	I6	
205	80	1/4	I	
206	80	3/8	V65/IV	
207	80	1/2	ii6	
208	80	5/8	V7	
209	81	0	I(94)	1
210	81	1/4	I\\	1
211	81	3/8	V2	1
212	81	1/2	I6	1
213	81	5/8	#viio6	1
214	81	0	I(94)	2
215	81	1/4	I\\	2
216	81	3/8	V	2
217	81	5/8	V7	2
0	82	0	I(974)	
1	82	1/2	I	
