mc	mn	timesig	onset	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	2/4	0	2	1	1/4		1/4	1		-2	58		9
1	1	2/4	0	2	1	1/4		1/4	1		2	62		9
1	1	2/4	0	1	1	3/16		1/8	3/2		-2	70		0
1	1	2/4	3/16	1	1	1/32		1/32	1		0	72		1
1	1	2/4	7/32	1	1	1/32		1/32	1		2	74		2
1	1	2/4	1/4	2	1	1/4		1/4	1		0	60		10
1	1	2/4	1/4	2	1	1/4		1/4	1		-3	63		10
1	1	2/4	1/4	1	1	1/24		1/16	2/3		-2	70		3
1	1	2/4	7/24	1	1	1/24		1/16	2/3		3	69		4
1	1	2/4	1/3	1	1	1/24		1/16	2/3		0	72		5
1	1	2/4	3/8	1	1	1/24		1/16	2/3		-2	70		6
1	1	2/4	5/12	1	1	1/24		1/16	2/3		3	69		7
1	1	2/4	11/24	1	1	1/24		1/16	2/3		-3	75		8
2	2	2/4	0	2	1	1/4		1/4	1		2	62		18
2	2	2/4	0	2	1	1/4		1/4	1		-1	65		18
2	2	2/4	0	1	1	1/24		1/16	2/3		0	72		11
2	2	2/4	1/24	1	1	1/24		1/16	2/3		-2	70		12
2	2	2/4	1/12	1	1	1/24		1/16	2/3		2	74		13
2	2	2/4	1/8	1	1	1/24		1/16	2/3		0	72		14
2	2	2/4	1/6	1	1	1/24		1/16	2/3		-2	70		15
2	2	2/4	5/24	1	1	1/24		1/16	2/3		-1	77		16
2	2	2/4	1/4	1	1	1/8		1/8	1		2	74		17
3	3	2/4	0	2	1	1/8		1/8	1		-3	51		29
3	3	2/4	0	2	1	1/8		1/8	1		-3	63		29
3	3	2/4	0	1	1	1/8		1/8	1		-2	70		19
3	3	2/4	0	1	1	1/8		1/8	1		-3	75		19
3	3	2/4	0	1	1	1/8		1/8	1		1	79		19
3	3	2/4	1/8	2	1	1/8		1/8	1		-2	46		30
3	3	2/4	1/8	2	1	1/8		1/8	1		-2	58		30
3	3	2/4	1/8	1	1	1/8		1/8	1		-2	70		20
3	3	2/4	1/8	1	1	1/8		1/8	1		2	74		20
3	3	2/4	1/8	1	1	1/8		1/8	1		-1	77		20
3	3	2/4	1/4	1	1	1/32		1/32	1		-1	77		21
3	3	2/4	9/32	1	1	1/32		1/32	1		-2	82		22
3	3	2/4	5/16	1	1	1/32		1/32	1		3	81		23
3	3	2/4	11/32	1	1	1/32		1/32	1		-2	82		24
3	3	2/4	3/8	1	1	1/32		1/32	1		2	86		25
3	3	2/4	13/32	1	1	1/32		1/32	1		-2	82		26
3	3	2/4	7/16	1	1	1/32		1/32	1		3	81		27
